PolyOrigin-PolyAncestry,designinfo
population,A,B,C
1,2,0,0
2,1,1,0
3,1,0,1
4,0,1,1
PolyOrigin-PolyAncestry,parentinfo
individual,ploidy
A,4
B,4
C,4
PolyOrigin-PolyAncestry,offspringinfo
individual,population,ploidy,isoutlier
AxA0001,1,4,false
AxA0002,1,4,false
AxA0003,1,4,false
AxA0004,1,4,false
AxA0005,1,4,false
AxA0006,1,4,false
AxA0007,1,4,false
AxA0008,1,4,false
AxA0009,1,4,false
AxA0010,1,4,false
AxB0001,2,4,false
AxB0002,2,4,false
AxB0003,2,4,false
AxB0004,2,4,false
AxB0005,2,4,false
AxB0006,2,4,false
AxB0007,2,4,false
AxB0008,2,4,false
AxB0009,2,4,false
AxB0010,2,4,false
AxC0001,3,4,false
AxC0002,3,4,false
AxC0003,3,4,false
AxC0004,3,4,false
AxC0005,3,4,false
AxC0006,3,4,false
AxC0007,3,4,false
AxC0008,3,4,false
AxC0009,3,4,false
AxC0010,3,4,false
BxC0001,4,4,false
BxC0002,4,4,false
BxC0003,4,4,false
BxC0004,4,4,false
BxC0005,4,4,false
BxC0006,4,4,false
BxC0007,4,4,false
BxC0008,4,4,false
BxC0009,4,4,false
BxC0010,4,4,false
PolyOrigin-PolyAncestry,delmarker
marker,chromosome,position
PolyOrigin-PolyAncestry,correction
round,marker,chromosome,parent,old_genotype,new_genotype,old_nerr,new_nerr
A,AxC0004,3,5|8|13|16,1:2-3:4|5:7-6:8|1:2:3:4-1:2:3:4|5:7-6:8|1:2-3:4|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-28.65|-31.529|-32.616|-35.494,0.9292|0.0522|0.0176|0.001
A,AxC0005,3,1|2|4|13|14|16,1:2-3:4|5:6-7:8|1:3-2:4|5:6-7:8|1:2:3:4-1:2:3:4|5:6-7:8|1:2-3:4|5:6:7:8-5:6:7:8|1:3-2:4|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-21.878|-21.894|-22.591|-24.089|-24.105|-24.8,0.3642|0.3583|0.1786|0.0399|0.0393|0.0196
A,AxC0006,3,11|15|12|16,1:4-2:3|5:8-6:7|1:4-2:3|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:8-6:7|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-17.761|-19.496|-20.58|-22.315,0.8022|0.1415|0.0478|0.0084
A,AxC0007,3,11|7|15|12|8|16,1:4-2:3|5:8-6:7|1:4-2:3|5:7-6:8|1:4-2:3|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:8-6:7|1:2:3:4-1:2:3:4|5:7-6:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-19.17|-19.457|-19.782|-20.438|-21.27|-21.378,0.3563|0.2674|0.1932|0.1003|0.0436|0.0392
A,AxC0008,3,2|14|4|16,1:3-2:4|5:6-7:8|1:3-2:4|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6-7:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-37.745|-40.942|-41.626|-44.815,0.9413|0.0385|0.0194|0.0008
A,AxC0009,3,6|10|14|8|12|16,1:3-2:4|5:7-6:8|1:3-2:4|5:8-6:7|1:3-2:4|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:7-6:8|1:2:3:4-1:2:3:4|5:8-6:7|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-38.44|-38.525|-39.213|-45.477|-45.559|-46.249,0.4197|0.3856|0.1938|0.0004|0.0003|0.0002
A,AxC0010,3,6|10|14|8|12|16,1:3-2:4|5:7-6:8|1:3-2:4|5:8-6:7|1:3-2:4|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:7-6:8|1:2:3:4-1:2:3:4|5:8-6:7|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-14.477|-14.546|-15.243|-16.292|-16.36|-17.058,0.3587|0.3347|0.1666|0.0584|0.0545|0.0271
A,BxC0001,4,3|7|15|4|8|16,1:4-2:3|5:6-7:8|1:4-2:3|5:7-6:8|1:4-2:3|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6-7:8|1:2:3:4-1:2:3:4|5:7-6:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-15.738|-16.133|-16.504|-18.725|-19.31|-19.519,0.4465|0.3008|0.2075|0.0225|0.0125|0.0102
A,BxC0002,4,7|8|15|16,1:4-2:3|5:7-6:8|1:2:3:4-1:2:3:4|5:7-6:8|1:4-2:3|5:6:7:8-5:6:7:8|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8,-32.045|-34.884|-35.636|-38.479,0.9194|0.0537|0.0254|0.0015
A,BxC0003,4,12|11|16|15,1:2:3:4-1:2:3:4|5:8-6:7|1:4-2:3|5:8-6:7|1:2:3:4-1:2:3:4|5:6:7:8-5:6:7:8|1:4-2:3|5:6:7:8-5:6:7:8,-42.074|-42.686|-48.154|-49.106,0.6472|0.3508|0.0015|0.0006
